"category","rows"
"Outdoor > Trim & Moulding > PVC Fascia","5"
"Tools > Cordless Tools > Sanders","5"
"Tools > Cordless Tools > Ratchet Wrenches","4"
"Tools > Power Tools > Drill Drivers","4"
"Hardware > Building Materials > Post Wraps","4"
"Hardware > Masonry & Concrete > Mortar","4"
"Safety > Personal Protective Equipment > Work Gloves","4"
"Tools > Power Tool Accessories > Battery & Charger Kits","4"
"Building Materials > Lumber > Boards","4"
"Lighting > Wall Sconces > Outdoor Wall Lights","4"
"Electrical > Wire & Cable > Building Wire","4"
"Outdoor > Decking & Railing > Railing Panels","4"
"Electrical > Wiring Devices > Outlets","4"
"Abrasives > Sandpaper & Sheets > Sandpaper Sheets","4"
"Appliances > Small Appliances > Toasters","3"
"Electrical > Wire & Cable > Cordage & Power Cords","3"
"Electrical > Circuit Breakers & Load Centers > Load Centers","3"
"Lighting > Bulbs > LED PAR Bulbs","3"
"Lighting > Bulbs > LED A19 Bulbs","3"
"Electrical > Wiring Devices > GFCI Outlets","3"
"Outdoor > Lawn Care > Hedge Trimmers","3"
"Electrical > Wiring Devices > Wallplates","3"
"Tools > Measuring & Layout > Squares","3"
"Tools > Hand Tools > Socket & Ratchet Sets","3"
"Tools > Hand Tools > Wrench Sets","3"
"Hardware > Doors & Windows > Windows","3"
"Tools > Power Tools > Miter Saws","3"
"Hardware > Doors & Windows > Skylights","3"
"Electrical > Testing & Measuring > Voltage Detectors","3"
"Outdoor > Lawn Care > String Trimmers","3"
"Building Materials > Roofing & Siding > Siding Panels","3"
"Tools > Power Tool Accessories > Battery Chargers","3"
"Tools > Power Tool Accessories > Router Bits","3"
"Hardware > Doors & Windows > Patio Doors","3"
"Appliances > Refrigeration > Beverage Centers","3"
"Building Materials > Insulation > Insulated Sheathing","3"
"Tools > Hand Tools > Markers & Pencils","3"
"Tools > Power Tools > Band Saws","3"
"Lighting > Strip & Under Cabinet Lights > LED Strip Lights","3"
"Tools > Tool Accessories > Socket Adapters","3"
"Lighting > Bath & Vanity Lighting > Bath Vanity Lights","3"
"Tools > Tool Storage > Small Parts Organizers","3"
"Appliances > Cooking Appliances > Cooktops","2"
"Tools > Hand Tools > Knives","2"
"Tools > Hand Tools > Snips & Shears","2"
"Tools > Measuring & Layout > Calipers","2"
"Fasteners > Staples > Pneumatic Staples","2"
"Safety > Facility Safety > Smoke & Gas Detectors","2"
"Appliances > Large Appliances > Freezers","2"
"Safety > Fire Protection > Fire Extinguishers","2"
"Automotive > Lubrication Equipment > Grease Guns","2"
"Janitorial > Hydration > Water Bottles","2"
"Tools > Power Tools > Hammer Drills","2"
"Tools > Hand Tools > Screwdrivers","2"
"Tools > Tool Accessories > Driver Bit Sets","2"
"Tools > Power Tool Accessories > Battery Chargers & Starter Kits","2"
"Abrasives > Sanding Sheets & Rolls > Mesh Sanding Sheets","2"
"Abrasives > Coated Abrasives > Sandpaper Sheets & Rolls","2"
"Tools > Jobsite Equipment > Speakers","2"
"Tools > Power Tools > Blowers","2"
"Building Materials > Roofing & Siding > Siding","2"
"Outdoor > Decking & Railing > Railings","2"
"Lighting > Light Bulbs > Halogen Bulbs","2"
"Abrasives > Sandpaper & Sheets > Sandpaper Assortments","2"
"Tools > Power Tools > Reciprocating Saws","2"
"Building Materials > Roofing & Siding > Underlayment","2"
"Tools > Power Tool Accessories > Planer Blades","2"
"Electrical > Lighting Controls > Dimmers","2"
"Tools > Power Tools > Jigsaws","2"
"Outdoor > Decking & Railing > Gates","2"
"Lighting > Light Bulbs > Fluorescent Tubes","2"
"Lighting > Utility & Shop Lighting > Wrap Lights","2"
"Tools > Power Tools > Cordless Tool Kits","2"
"Paint > Drywall > Drywall Panels","2"
"Electrical > Wiring Devices > Switches","2"
"Electrical > Wiring Devices > Cord Connectors","2"
"Building Materials > Decking & Railing > Support Posts","2"
"Tools > Power Tools > Rotary Tools","2"
"Lighting > Portable Lighting > Flashlights","2"
"Lighting > Portable Lighting > Work Lights","2"
"Hardware > Doors & Windows > Thresholds","2"
"Tools > Hand Tools > Bit Holders","2"
"Tools > Power Tool Accessories > Table Saw Accessories","1"
"Tools > Cordless Tools > Routers","1"
"Tools > Power Tools > Table Saws","1"
"Tools > Dust Collection > Vacuum Bags","1"
"Tools > Power Tool Accessories > Table Saw Parts","1"
"Tools > Tools > Power Supplies & Chargers","1"
"Tools > Hand Tools > Chalk Lines","1"
"Tools > Outdoor Power Equipment > Pruner Parts & Blades","1"
"Tools > Woodworking Machinery > Shapers","1"
"Tools > Tool Accessories > Socket Accessories","1"
"Tools > Power Tool Accessories > Power Supplies & Chargers","1"
"Tools > Power Tools > Screwdrivers","1"
"Tools > Woodworking Tools > Planers","1"
"Tools > Woodworking Machinery > Jointers","1"
"Tools > Woodworking Machinery Accessories > Rip Fences","1"
"Tools > Tool Accessories > Nailer Magazines","1"
"Tools > Cordless Tools > Staplers","1"
"Tools > Cordless Tools > Polishers & Sanders","1"
"Tools > Woodworking Machinery Accessories > Saw Plates","1"
"Tools > Woodworking Machinery Accessories > Miter Sleds","1"
"Tools > Power Tools > Band Files","1"
"Tools > Power Tool Accessories > Hole Saw Kits","1"
"Abrasives > Diamond Blades > Segmented Diamond Blades","1"
"Tools > Saw Blades > Jigsaw Blades","1"
"Tools > Power Tool Accessories > Miter Saw Stands & Accessories","1"
"Tools > Saw Blades > Reciprocating Saw Blades","1"
"Tools > Woodworking Machinery > Stock Feeders","1"
"Tools > Power Tools > Drill Presses","1"
"Tools > Woodworking Machinery > Sanders","1"
"Tools > Saw Blades > Dado Blades","1"
"Tools > Power Tools > Impact Drivers","1"
"Electrical > Timers > Indoor Timers","1"
"Electrical > Timers > Digital Timers","1"
"Lighting > Commercial & Industrial Lighting > High Bay Lights","1"
"Electrical > Timers > Mechanical Timers","1"
"Electrical > Timers > Outdoor Timers","1"
"Hardware > Structural Hardware > Hangers","1"
"Tools > Accessories > Tool Mounts","1"
"Electrical > Lighting Controls > Plug-In Dimmers","1"
"Electrical > Wall Plates > Decorator Plates","1"
"Lighting > Light Bulbs > HID Bulbs","1"
"Lighting > Utility & Shop Lighting > Shop Lights","1"
"Lighting > Bulbs > LED Decorative Bulbs","1"
"Lighting > Bulbs > LED Flood Bulbs","1"
"Lighting > Ceiling Lights > Flat Panel Lights","1"
"Lighting > Strip & Under Cabinet Lights > LED Tape Lights","1"
"Lighting > Security & Flood Lights > Motion Security Lights","1"
"Lighting > Recessed Lighting > Retrofit Downlights","1"
"Lighting > Commercial & Industrial Lighting > LED Flat Panels","1"
"Automotive > Tire & Wheel > Inflator Gauges","1"
"Tools > Safety Equipment > Kneeling Pads","1"
"Building Materials > Building & Roof Access > Attic Doors","1"
"Building Materials > Decking & Railing > Deck Accessories","1"
"Appliances > Laundry Appliances > Laundry Centers","1"
"Electrical > Tape & Adhesives > Electrical Tape","1"
"Abrasives > Coated Abrasives > Sanding Sponges","1"
"Appliances > Appliance Accessories > Heater Kits","1"
"Hardware > Weather Stripping & Sealing > Sealant Tape","1"
"Building Materials > Ceilings > Ceiling Tiles","1"
"Outdoor > Decking & Railing > Railing Accessories","1"
"Automotive > Battery Chargers > Jump Starters","1"
"Automotive > Batteries > Commercial Batteries","1"
"Building Materials > Roofing & Siding > Soffit & Fascia","1"
"Building Materials > Roofing & Siding > House Wrap & Drainage","1"
"Building Materials > Doors > Patio Doors","1"
"Building Materials > Roofing & Siding > Shingles","1"
"Building Materials > Lumber > Plywood & OSB","1"
"Tools > Tool Storage > Tool Chests","1"
"Hardware > Gate Hardware > Latches","1"
"Safety > Hearing Protection > Earmuffs","1"
"Hardware > Building Materials > Molding & Trim","1"
"Hardware > Security > Alerts & Alarms","1"
"Fasteners > Nails > Collated Nails","1"
"Tools > Power Tool Accessories > Drilling Accessories","1"
"Tools > Cordless Tools > Vacuums","1"
"Fasteners > Nails > Finish Nails","1"
"Tools > Hand Tools > Files","1"
"Tools > Power Tool Accessories > Screw Gun Attachments","1"
"Tools > Hand Tools > Hex Keys","1"
"Tools > Power Tool Accessories > Saw Blades","1"
"Tools > Power Tools > Sanders","1"
"Tools > Tool Storage > Tool Pouches & Holsters","1"
"Tools > Power Tool Accessories > Battery Adapters & Power Sources","1"
"Tools > Power Tool Accessories > Plug Cutters","1"
"Tools > Power Tool Accessories > Countersinks","1"
"Electrical > Wire & Cable > Low Voltage Wire","1"
"Lighting > Portable Lighting > Headlamps","1"
"Electrical > Wiring Devices > Wall Taps","1"
"Electrical > Wiring Devices > Cord Grips","1"
"Lighting > Portable Lighting > Clip Lights","1"
"Lighting > Bulbs > LED Linear & U-Bend Bulbs","1"
"Lighting > Bulbs > LED Globe Bulbs","1"
"Lighting > Post Lights > Outdoor Post Lights","1"
"Lighting > Bulbs > LED Specialty Bulbs","1"
"Appliances > Small Appliances > Toaster Ovens","1"
"Appliances > Cooking Appliances > Range Accessories","1"
"Appliances > Refrigeration > Freezers","1"
"Appliances > Refrigeration > Refrigerators","1"
"Abrasives > Coated Abrasives > Sanding Belts","1"
"Electrical > Wiring Devices > Specialty Outlets","1"
"Electrical > Wiring Devices > USB Outlets","1"
"Appliances > Cooking Appliances > Wall Ovens","1"
"Electrical > Wiring Devices > Plugs","1"
