MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,236,Abrasives,Cut-Off & Grinding Wheels,Cut-Off Wheels,1516036,AB-1794,AB-1794 100GRIT CUTOFF DISC 4.5 in.,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,3M Co.,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,AB-1794,,Abrasives & Cut-Off & Grinding Wheels & Cut-Off Wheels,"UNRESOLVED — needs manual review, Cut-Off Wheels, AB-1794",CUT-OFF WHEELS AB-1794 100 GRIT CUT-OFF,"UNRESOLVED — needs manual review AB-1794 Cut-Off Wheels, 100","UNRESOLVED — needs manual review Cut-Off Wheels, AB-1794, 100, Cut-Off Disc, 4.5 in Diameter","Cut-Off Wheels, 100",,,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Wheels,Grit,100,,Type,Cut-Off Disc,,Diameter,4.5,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,237,Automotive,Batteries,Automotive Batteries,1516037,AU-1541,AU-1541 12V AGM BATTERY GRP 65 527CCA,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Interstate Batteries,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,AU-1541,,Automotive & Batteries & Automotive Batteries,"UNRESOLVED — needs manual review, Automotive Batteries, AU-1541",AUTOMOTIVE BATT AU-1541 12 V VOLTAGE AGM,"UNRESOLVED — needs manual review AU-1541 Automotive Batteries, 12","UNRESOLVED — needs manual review Automotive Batteries, AU-1541, 12 V Voltage, AGM, 65, 527 CCA Cold Cranking Amps",Automotive Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,Automotive Batteries,Voltage,12,V,Chemistry,AGM,,Group Size,65,,Cold Cranking Amps,527,CCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,238,Electrical,Wiring Devices,Outlets,1516038,EL2-1036,EL2-1036 GFCI OUTLET 15A 125V TR WHT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Leviton Manufacturing,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,EL2-1036,,Electrical & Wiring Devices & Outlets,"UNRESOLVED — needs manual review, Outlets, EL2-1036",OUTLETS EL2-1036 125 V VOLTAGE 15 A AMPE,"UNRESOLVED — needs manual review EL2-1036 Outlets, White, 125","UNRESOLVED — needs manual review Outlets, EL2-1036, 125 V Voltage, 15 A Amperage, White, GFCI Outlet, Yes","Outlets, White",,,,,,,,,,,,,,,,,,,,,,,,,,,Outlets,Voltage,125,V,Amperage,15,A,Color,White,,Device Type,GFCI Outlet,,Tamper Resistant,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,239,Tools,Hand Tools,Wrenches,1516039,HT-1200,"HT-1200 12"" ADJ WRENCH CHROME VANADIUM",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Klein Tools Inc,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,HT-1200,,Tools & Hand Tools & Wrenches,"UNRESOLVED — needs manual review, Wrenches, HT-120012",WRENCHES HT-1200 CHROME COLOR 12 IN SIZE,"UNRESOLVED — needs manual review HT-1200 Wrenches, Chrome Vanadium, Chrome, 12","UNRESOLVED — needs manual review Wrenches, HT-1200, Chrome, 12 in Size, Adjustable Wrench, Chrome Vanadium","Wrenches, Chrome Vanadium, Chrome, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,Wrenches,Color,Chrome,,Size,12,in,Type,Adjustable Wrench,,Material,Chrome Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,240,Safety,Eye Protection,Safety Glasses,1516040,SF-1949,SF-1949 SAFETY GLASSES CLR ANTI-FOG ANSI Z87.1,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,3M Company,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,SF-1949,,Safety & Eye Protection & Safety Glasses,"UNRESOLVED — needs manual review, Safety Glasses, SF-1949",SAFETY GLASSES SF-1949 SAFETY GLASSES PR,UNRESOLVED — needs manual review SF-1949 Safety Glasses,"UNRESOLVED — needs manual review Safety Glasses, SF-1949, Safety Glasses, Clear, Yes, ANSI Z87.1",Safety Glasses,,,,,,,,,,,,,,,,,,,,,,,,,,,Safety Glasses,Product Type,Safety Glasses,,Lens Color,Clear,,Anti-Fog,Yes,,Safety Standard,ANSI Z87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,241,Electrical,Wire & Cable,Network Cable,1516041,CBL-1795,CBL-1795 CAT6 CABLE 500FT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Belden Inc,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,CBL-1795,,Electrical & Wire & Cable & Network Cable,"UNRESOLVED — needs manual review, Network Cable, CBL-1795",NETWORK CABLE CBL-1795 500 FT LENGTH 500,UNRESOLVED — needs manual review CBL-1795 Network Cable,"UNRESOLVED — needs manual review Network Cable, CBL-1795, 500 ft Length, 500, CAT6",Network Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Cable,Length,500,ft,Beam Distance,500,,Cable Type,CAT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,242,Lawn & Garden,Outdoor Power Equipment,String Trimmers,1516042,LG-1466,LG-1466 56V CORDLESS STRING TRIMMER,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,EGO Power Plus,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,LG-1466,,Lawn & Garden & Outdoor Power Equipment & String Trimmers,"UNRESOLVED — needs manual review, String Trimmers, LG-1466",STRING TRIMMERS LG-1466 56 V VOLTAGE COR,"UNRESOLVED — needs manual review LG-1466 String Trimmers, 56","UNRESOLVED — needs manual review String Trimmers, LG-1466, 56 V Voltage, Cordless, String Trimmer",String Trimmers,,,,,,,,,,,,,,,,,,,,,,,,,,,String Trimmers,Voltage,56,V,Power Source,Cordless,,Tool Type,String Trimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,243,Plumbing,Fittings & Valves,Ball Valves,1516043,VLV-1458,VLV-1458 1/2IN BALL VLV BRS FIP,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Eaton,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,VLV-1458,,Plumbing & Fittings & Valves & Ball Valves,"UNRESOLVED — needs manual review, Ball Valves, VLV-14581/2",BALL VALVES VLV-1458 1/2 IN SIZE BALL VA,"UNRESOLVED — needs manual review VLV-1458 Ball Valves, Brass, 1/2","UNRESOLVED — needs manual review Ball Valves, VLV-1458, 1/2 in Size, Ball Valve, Brass, FIP","Ball Valves, Brass, 1/2",,,,,,,,,,,,,,,,,,,,,,,,,,,Ball Valves,Size,1/2,in,Valve Type,Ball Valve,,Material,Brass,,Connection Type,FIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,244,Appliances,Kitchen Appliances,Microwaves,1516044,MW-1711,MW-1711 OVER THE RANGE MICROWAVE 1158W,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,GE Appliances,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,MW-1711,,Appliances & Kitchen Appliances & Microwaves,"UNRESOLVED — needs manual review, Microwaves, MW-1711",MICROWAVES MW-1711 1158 W WATTAGE OVER T,"UNRESOLVED — needs manual review MW-1711 Microwaves, 1158","UNRESOLVED — needs manual review Microwaves, MW-1711, 1158 W Wattage, Over the Range, Microwave",Microwaves,,,,,,,,,,,,,,,,,,,,,,,,,,,Microwaves,Wattage,1158,W,Mounting Type,Over the Range,,Appliance Type,Microwave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,245,Adhesives,Epoxy & Resin,Epoxy Cartridges,1516045,ADH-1791,ADH-1791 EPOXY 3OZ CARTRIDGE,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Henkel Corp,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,ADH-1791,,Adhesives & Epoxy & Resin & Epoxy Cartridges,"UNRESOLVED — needs manual review, Epoxy Cartridges, ADH-17913",EPOXY CARTRIDGE ADH-1791 3 OZ SIZE EPOXY,"UNRESOLVED — needs manual review ADH-1791 Epoxy Cartridges, Epoxy, 3","UNRESOLVED — needs manual review Epoxy Cartridges, ADH-1791, 3 oz Size, Epoxy, Cartridge","Epoxy Cartridges, Epoxy, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,Epoxy Cartridges,Size,3,oz,Material,Epoxy,,Container Type,Cartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,246,Electrical,Wiring Devices,GFCI Receptacles,1516046,EL2-1655,EL2-1655 GFCI RECEPT 20A 125V TR WHT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Leviton Mfg,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,EL2-1655,,Electrical & Wiring Devices & GFCI Receptacles,"UNRESOLVED — needs manual review, GFCI Receptacles, EL2-1655",GFCI RECEPTACLE EL2-1655 125 V VOLTAGE 2,"UNRESOLVED — needs manual review EL2-1655 GFCI Receptacles, White, 125","UNRESOLVED — needs manual review GFCI Receptacles, EL2-1655, 125 V Voltage, 20 A Amperage, White, GFCI Receptacle, Yes","GFCI Receptacles, White",,,,,,,,,,,,,,,,,,,,,,,,,,,GFCI Receptacles,Voltage,125,V,Amperage,20,A,Color,White,,Device Type,GFCI Receptacle,,Tamper Resistant,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,247,Appliances,Large Appliances,Dishwashers,1516047,DW-1572,DW-1572 FRONT CONTROL DISHWASHER 42 dBA WHITE,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,GE Appliances,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,DW-1572,,Appliances & Large Appliances & Dishwashers,"UNRESOLVED — needs manual review, Dishwasher, DW-1572, Built-in Mounting",DISHWASHER BLTLN PLS 120V 15A 42DBA,"UNRESOLVED — needs manual review® DW-1572 Dishwasher, Built-in Mounting, White","UNRESOLVED — needs manual review® Dishwasher, 120 V, 15 A, Built-in Mounting, 42 dBA Sound Level, White, Additional Information: Front control dishwasher, 42 dBA sound level","Dishwasher, Built-in Mounting, White",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,42,dBA,Material,,,Color,White,,Additional Information,"Front control dishwasher, 42 dBA sound level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,248,Automotive,Batteries & Accessories,Automotive Batteries,1516048,AU-1077,AU-1077 12V AGM BATTERY GRP 35 593CCA,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Interstate Batteries,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,AU-1077,,Automotive & Batteries & Accessories & Automotive Batteries,"UNRESOLVED — needs manual review, Automotive Batteries, AU-1077",AUTOMOTIVE BATT AU-1077 12 V VOLTAGE AGM,"UNRESOLVED — needs manual review AU-1077 Automotive Batteries, 12","UNRESOLVED — needs manual review Automotive Batteries, AU-1077, 12 V Voltage, AGM, 35, 593 CCA Cold Cranking Amps",Automotive Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,Automotive Batteries,Voltage,12,V,Chemistry,AGM,,Group Size,35,,Cold Cranking Amps,593,CCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,249,Tools,Power Tools,Circular Saws,1516049,PT2-1660,PT2-1660 6.5-IN CIRC SAW 15A CORDED,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Makita U.S.A. Inc,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,PT2-1660,,Tools & Power Tools & Circular Saws,"UNRESOLVED — needs manual review, Circular Saws, PT2-1660",CIRCULAR SAWS PT2-1660 15 A AMPERAGE 6.5,UNRESOLVED — needs manual review PT2-1660 Circular Saws,"UNRESOLVED — needs manual review Circular Saws, PT2-1660, 15 A Amperage, 6.5 in Blade Diameter, Circular Saw, Corded",Circular Saws,,,,,,,,,,,,,,,,,,,,,,,,,,,Circular Saws,Amperage,15,A,Blade Diameter,6.5,in,Tool Type,Circular Saw,,Power Source,Corded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,250,Uncategorized,,,1516050,BM-1201,BM-1201 5/8IN OSB SUBFLR 4X8 SHEET,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Georgia-Pacific,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,BM-1201,,Uncategorized,"UNRESOLVED — needs manual review, Uncategorized, BM-1201",UNCATEGORIZED BM-1201 5/8 IN THICKNESS O,"UNRESOLVED — needs manual review BM-1201 Uncategorized, OSB","UNRESOLVED — needs manual review Uncategorized, BM-1201, 5/8 in Thickness, OSB, Subfloor, 4X8 ft Dimensions, Sheet","Uncategorized, OSB",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Thickness,5/8,in,Material,OSB,,Application,Subfloor,,Dimensions,4X8,ft,Product Type,Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,251,Tools,Power Tools,Drill Drivers,1516051,PT-1543,PT-1543 12V MAX CORDLESS DRILL DRIVER KIT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,DEWALT Industrial,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,PT-1543,,Tools & Power Tools & Drill Drivers,"UNRESOLVED — needs manual review, Drill Drivers, PT-1543",DRILL DRIVERS PT-1543 12 V VOLTAGE CORDL,"UNRESOLVED — needs manual review PT-1543 Drill Drivers, 12","UNRESOLVED — needs manual review Drill Drivers, PT-1543, 12 V Voltage, Cordless, Drill Driver, Yes",Drill Drivers,,,,,,,,,,,,,,,,,,,,,,,,,,,Drill Drivers,Voltage,12,V,Power Source,Cordless,,Tool Type,Drill Driver,,Kit,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,252,Tools,Power Tools,Circular Saws,1516052,PT2-1357,PT2-1357 10in CIRC SAW 15A CORDED,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Makita U.S.A. Inc,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,PT2-1357,,Tools & Power Tools & Circular Saws,"UNRESOLVED — needs manual review, Circular Saws, PT2-1357",CIRCULAR SAWS PT2-1357 15 A AMPERAGE 10,UNRESOLVED — needs manual review PT2-1357 Circular Saws,"UNRESOLVED — needs manual review Circular Saws, PT2-1357, 15 A Amperage, 10 in Blade Diameter, Circular Saw, Corded",Circular Saws,,,,,,,,,,,,,,,,,,,,,,,,,,,Circular Saws,Amperage,15,A,Blade Diameter,10,in,Tool Type,Circular Saw,,Power Source,Corded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
