row_index,mfg_part_num,part_desc,brand_e1,brand_unilog,brand_dib,part_manuf,placeholder_flags,coarse_category,is_dishwasher,classification_method
14,PT2-1511,PT2-1511 10IN CIRC SAW 15A CORDED,,,,Makita USA,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Makita USA', '_distributor_code': None, '_distributor_cluster': 'Makita USA'}",Tools > Power Tools > Circular Saws,False,llm-classified
15,LB-1445,LB-1445 A19 LED 12W 4000K DIM 6PK,,,,Signify NA,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Signify NA', '_distributor_code': None, '_distributor_cluster': 'Signify NA'}",Lighting > Bulbs > LED Bulbs,False,llm-classified
16,SF2-1667,SF2-1667 NITRILE GLOVE PF SM 100CT,,,,Ansell,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Ansell', '_distributor_code': None, '_distributor_cluster': 'Ansell Ltd'}",Safety > Hand Protection > Disposable Gloves,False,llm-classified
17,CBL-1222,CBL-1222 CAT5 CABLE 500FT,,,,Belden,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Belden', '_distributor_code': None, '_distributor_cluster': 'Belden Inc'}",Electrical > Wire & Cable > Data Cable,False,llm-classified
18,SF2-1521,SF2-1521 NITRILE GLOVES PF XL 100CT,,,,Ansell Ltd,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Ansell Ltd', '_distributor_code': None, '_distributor_cluster': 'Ansell Ltd'}",Safety > Hand Protection > Disposable Gloves,False,llm-classified
19,VLV-1813,VLV-1813 3/4IN BALL VLV BRZ THD,,,,Eaton Corp,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Eaton Corp', '_distributor_code': None, '_distributor_cluster': 'Eaton Corporation'}",Plumbing > Fittings & Valves > Ball Valves,False,llm-classified
20,DW-1040,DW-1040 TOP CONTROL DISHWASHER 55 dBA STAINLESS STEEL,,,,LG Electronics,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'LG Electronics', '_distributor_code': None, '_distributor_cluster': 'LG Electronics'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
21,JN-1849,JN-1849 24IN MICROFIBER FLAT MOP,,,,Rubbermaid,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Rubbermaid', '_distributor_code': None, '_distributor_cluster': 'Rubbermaid'}",Janitorial > Floor Care > Mops,False,llm-classified
22,DW-1920,DW-1920 TOP CONTROL DISHWASHER 54 dBA BLACK STAINLESS,,,,Samsung Electronics,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Samsung Electronics', '_distributor_code': None, '_distributor_cluster': 'Samsung Electronics'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
23,AU-1176,AU-1176 12V AGM BATTERY GRP 24 707CCA,,,,Interstate Batteries,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Interstate Batteries', '_distributor_code': None, '_distributor_cluster': 'Interstate Battery Sys'}",Automotive > Batteries > AGM Batteries,False,llm-classified
24,FAS2-1179,FAS2-1179 JOIST HANGER GALV,,,,Simpson,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Simpson', '_distributor_code': None, '_distributor_cluster': 'Simpson'}",Fasteners > Structural Fasteners > Joist Hangers,False,llm-classified
25,PT2-1418,"PT2-1418 6.5"" CIRC SAW 15A CORDED",,,,Makita USA,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Makita USA', '_distributor_code': None, '_distributor_cluster': 'Makita USA'}",Tools > Power Tools > Circular Saws,False,llm-classified
26,VLV-1742,"VLV-1742 1/2"" BALL VLV FULL PORT",,,,Eaton,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Eaton', '_distributor_code': None, '_distributor_cluster': 'Eaton Corporation'}",Plumbing > Fittings & Valves > Ball Valves,False,llm-classified
27,AU-1220,AU-1220 12V AGM BATTERY GRP 65 727CCA,,,,Interstate Battery Sys,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Interstate Battery Sys', '_distributor_code': None, '_distributor_cluster': 'Interstate Battery Sys'}",Automotive > Batteries > AGM Batteries,False,llm-classified
28,SF-1385,SF-1385 SAFETY GLASSES CLR ANTI-FOG ANSI Z87.1,,,,3M,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': '3M', '_distributor_code': None, '_distributor_cluster': '3M Company'}",Safety > Eye Protection > Safety Glasses,False,llm-classified
29,PT2-1842,PT2-1842 6.5-IN CIRC SAW 15A CORDED,,,,Makita USA,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Makita USA', '_distributor_code': None, '_distributor_cluster': 'Makita USA'}",Tools > Power Tools > Circular Saws,False,llm-classified
30,VLV-1003,VLV-1003 1/2IN BALL VLV FULL PORT,,,,Eaton Corporation,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Eaton Corporation', '_distributor_code': None, '_distributor_cluster': 'Eaton Corporation'}",Plumbing > Fittings & Valves > Ball Valves,False,llm-classified
31,DW-1696,DW-1696 FRONT CONTROL DISHWASHER 43 dBA BLACK STAINLESS,,,,LG Electronics,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'LG Electronics', '_distributor_code': None, '_distributor_cluster': 'LG Electronics'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
32,PT-1682,PT-1682 18V MAX CORDLESS DRILL DRIVER KIT,,,,DeWalt Ind. Tool,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'DeWalt Ind. Tool', '_distributor_code': None, '_distributor_cluster': 'DeWalt Ind. Tool'}",Tools > Power Tools > Drills,False,llm-classified
33,TOOL2-1285,TOOL2-1285 M12 RECIPROCATING SAW KIT,,,,Milwaukee Electric Tool,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Milwaukee Electric Tool', '_distributor_code': None, '_distributor_cluster': 'Milwaukee Electric Tool'}",Tools > Power Tools > Reciprocating Saws,False,llm-classified
34,PL2-1548,PL2-1548 1/2IN COPPER TEE CXCXC,,,,Nibco Inc,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Nibco Inc', '_distributor_code': None, '_distributor_cluster': 'NIBCO INC.'}",Plumbing > Fittings & Valves > Copper Fittings,False,llm-classified
35,HT-1559,HT-1559 10 in. ADJUSTABLE WRENCH CHROME VANADIUM,,,,Klein,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Klein', '_distributor_code': None, '_distributor_cluster': 'Klein'}",Tools > Hand Tools > Wrenches,False,llm-classified
36,EL-1338,EL-1338 14/2 NM-B ROMEX 250 FT,,,,Southwire,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Southwire', '_distributor_code': None, '_distributor_cluster': 'Southwire Company'}",Electrical > Wire & Cable > Building Wire,False,llm-classified
37,VLV-1124,"VLV-1124 1/2"" BALL VLV BRS FIP",,,,Eaton,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Eaton', '_distributor_code': None, '_distributor_cluster': 'Eaton Corporation'}",Plumbing > Fittings & Valves > Ball Valves,False,llm-classified
38,HT-1745,HT-1745 8 in. ADJ WRENCH CHROME VANADIUM,,,,Klein,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Klein', '_distributor_code': None, '_distributor_cluster': 'Klein'}",Tools > Hand Tools > Wrenches,False,llm-classified
39,LB-1695,LB-1695 A19 LED 15W 5000K DIMMABLE 3PK,,,,Signify North America,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Signify North America', '_distributor_code': None, '_distributor_cluster': 'Signify North America'}",Lighting > Bulbs > LED Bulbs,False,llm-classified
40,LG-1823,LG-1823 40V CORDLESS HEDGE TRIMMER,,,,EGO,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'EGO', '_distributor_code': None, '_distributor_cluster': 'EGO'}",Lawn & Garden > Outdoor Power Equipment > Hedge Trimmers,False,llm-classified
41,AU-1451,AU-1451 12V AGM BATTERY GRP 65 722CCA,,,,Interstate Batteries,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Interstate Batteries', '_distributor_code': None, '_distributor_cluster': 'Interstate Battery Sys'}",Automotive > Batteries > AGM Batteries,False,llm-classified
42,TOOL2-1924,TOOL2-1924 M18 IMPACT WRENCH KIT,,,,Milwaukee,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Milwaukee', '_distributor_code': None, '_distributor_cluster': 'Milwaukee'}",Tools > Power Tools > Impact Wrenches,False,llm-classified
43,RF-1512,RF-1512 SIDE BY SIDE REFRIGERATOR 23 CU FT,,,,LG Electronics,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'LG Electronics', '_distributor_code': None, '_distributor_cluster': 'LG Electronics'}",Appliances > Large Appliances > Refrigerators,False,llm-classified
44,AB2-1462,AB2-1462 4 in. FLAP DISC 40GRIT,,,,Norton Abrasives,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Norton Abrasives', '_distributor_code': None, '_distributor_cluster': 'Norton Abrasives'}",Abrasives > Coated Abrasives > Flap Discs,False,llm-classified
45,LG-1768,LG-1768 56V CORDLESS HEDGE TRIMMER,,,,EGO,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'EGO', '_distributor_code': None, '_distributor_cluster': 'EGO'}",Lawn & Garden > Outdoor Power Equipment > Hedge Trimmers,False,llm-classified
46,EL2-1339,EL2-1339 DECORA SWITCH 20A WHITE,,,,Leviton Manufacturing,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Leviton Manufacturing', '_distributor_code': None, '_distributor_cluster': 'Leviton Manufacturing'}",Electrical > Wiring Devices > Switches,False,llm-classified
47,BM-1854,BM-1854 5/8IN OSB SHEATHING 4X8 SHEET,,,,Georgia-Pacific,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Georgia-Pacific', '_distributor_code': None, '_distributor_cluster': 'Georgia Pacific Corp'}",Hardware > Building Materials > Panels,False,llm-classified
48,TOOL2-1971,TOOL2-1971 M18 IMPACT WRENCH KIT,,,,Milwaukee Tool,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Milwaukee Tool', '_distributor_code': None, '_distributor_cluster': 'Milwaukee Tool'}",Tools > Power Tools > Impact Wrenches,False,llm-classified
49,AB-1481,AB-1481 100GRIT SANDING BELT 7 in.,,,,3M Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': '3M Company', '_distributor_code': None, '_distributor_cluster': '3M Company'}",Abrasives > Coated Abrasives > Sanding Belts,False,llm-classified
50,AB2-1320,AB2-1320 9 IN GRIND WHL A24 TYPE27,,,,Norton Abr.,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Norton Abr.', '_distributor_code': None, '_distributor_cluster': 'Norton Abr.'}",Abrasives > Bonded Abrasives > Grinding Wheels,False,llm-classified
51,FA-1760,FA-1760 10D COMMON NAIL 3IN 1# BOX,,,,Fastenal Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Fastenal Company', '_distributor_code': None, '_distributor_cluster': 'Fastenal Company'}",Fasteners > Nails > Common Nails,False,llm-classified
52,AB-1238,"AB-1238 36GRIT SANDING BELT 4.5""",,,,3M Co.,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': '3M Co.', '_distributor_code': None, '_distributor_cluster': '3M Company'}",Abrasives > Coated Abrasives > Sanding Belts,False,llm-classified
53,AU-1380,AU-1380 12V AGM BATTERY GRP 65 567CCA,,,,Interstate,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Interstate', '_distributor_code': None, '_distributor_cluster': 'Interstate'}",Automotive > Batteries > AGM Batteries,False,llm-classified
54,HT-1386,HT-1386 8in ADJ WRENCH CHROME VANADIUM,,,,Klein,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Klein', '_distributor_code': None, '_distributor_cluster': 'Klein'}",Tools > Hand Tools > Wrenches,False,llm-classified
55,LB-1563,LB-1563 LED FLAT PANEL 2X2 50W 5000K,,,,Philips Lighting,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Philips Lighting', '_distributor_code': None, '_distributor_cluster': 'Philips Lighting'}",Lighting > Commercial Lighting > LED Flat Panels,False,llm-classified
56,PL2-1143,PL2-1143 1IN CU 90 ELBOW,,,,Nibco,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Nibco', '_distributor_code': None, '_distributor_cluster': 'NIBCO INC.'}",Plumbing > Fittings & Valves > Copper Fittings,False,llm-classified
57,SF2-1079,SF2-1079 NITRILE GLOVE PF SM 50CT,,,,Ansell Limited,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Ansell Limited', '_distributor_code': None, '_distributor_cluster': 'Ansell Limited'}",Safety > Hand Protection > Disposable Gloves,False,llm-classified
58,PT-1188,PT-1188 18V CORDLESS DRILL DRIVER KIT,,,,DEWALT,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'DEWALT', '_distributor_code': None, '_distributor_cluster': 'DEWALT'}",Tools > Power Tools > Drills,False,llm-classified
59,JN-1838,JN-1838 18 IN MICROFIBER MOP PAD,,,,Rubbermaid Comm,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Rubbermaid Comm', '_distributor_code': None, '_distributor_cluster': 'Rubbermaid Commercial'}",Janitorial > Floor Care > Mop Pads,False,llm-classified
60,DW-1680,DW-1680 BUILT-IN DISHWASHER 55 dBA STAINLESS STEEL,,,,Samsung Electronics,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Samsung Electronics', '_distributor_code': None, '_distributor_cluster': 'Samsung Electronics'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
61,PL2-1734,PL2-1734 1/2IN CU 90 ELBOW,,,,Nibco Inc,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Nibco Inc', '_distributor_code': None, '_distributor_cluster': 'NIBCO INC.'}",Plumbing > Fittings & Valves > Copper Fittings,False,llm-classified
62,AB2-1530,AB2-1530 7in CUT WHL METAL,,,,Norton,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Norton', '_distributor_code': None, '_distributor_cluster': 'Norton'}",Abrasives > Cut-Off Wheels > Metal Cut-Off Wheels,False,llm-classified
63,PL-1461,PL-1461 3/8 UNION BRS 125#,,,,Watts,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Watts', '_distributor_code': None, '_distributor_cluster': 'Watts'}",Plumbing > Fittings & Valves > Brass Fittings,False,llm-classified
64,EL-1313,EL-1313 12/2 NM-B ROMEX 250 FT,,,,Southwire Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Southwire Company', '_distributor_code': None, '_distributor_cluster': 'Southwire Company'}",Electrical > Wire & Cable > Romex & NM-B Cable,False,llm-classified
65,PT2-1534,PT2-1534 6.5 IN CIRC SAW 15A CORDED,,,,Makita,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Makita', '_distributor_code': None, '_distributor_cluster': 'Makita USA'}",Tools > Power Tools > Circular Saws,False,llm-classified
66,UNK-9012,nan,,,,ABC Supply Co,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'ABC Supply Co', '_distributor_code': None, '_distributor_cluster': 'ABC Supply Co'}",Uncategorized,False,llm-classified
67,SF-1656,SF-1656 SAFETY GLASSES CLR ANTI-FOG ANSI Z87.1,,,,3M Co.,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': '3M Co.', '_distributor_code': None, '_distributor_cluster': '3M Company'}",Safety > Eye Protection > Safety Glasses,False,llm-classified
68,PT2-1856,PT2-1856 7.25in CIRC SAW 15A CORDED,,,,Makita,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Makita', '_distributor_code': None, '_distributor_cluster': 'Makita USA'}",Tools > Power Tools > Circular Saws,False,llm-classified
69,AB2-1871,AB2-1871 7 IN FLAP DISC 40GRIT,,,,Norton Abr.,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Norton Abr.', '_distributor_code': None, '_distributor_cluster': 'Norton Abr.'}",Abrasives > Sanding Discs > Flap Discs,False,llm-classified
70,CBL-1207,CBL-1207 CAT5 CABLE 250FT,,,,Belden,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Belden', '_distributor_code': None, '_distributor_cluster': 'Belden Inc'}",Electrical > Wire & Cable > Data Cables,False,llm-classified
71,EL-1281,EL-1281 10/3 NM-B ROMEX 250 FT,,,,Southwire Co.,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Southwire Co.', '_distributor_code': None, '_distributor_cluster': 'Southwire Company'}",Electrical > Wire & Cable > Romex & NM-B Cable,False,llm-classified
72,FA-1595,"FA-1595 #10-24 X 1.5"" HEX CAP SCR ZN GR5",,,,Fastenal Co,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Fastenal Co', '_distributor_code': None, '_distributor_cluster': 'Fastenal Company'}",Fasteners > Bolts > Hex Cap Screws,False,llm-classified
73,SF2-1684,SF2-1684 NITRILE GLOVES PF MD 100CT,,,,Ansell Limited,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Ansell Limited', '_distributor_code': None, '_distributor_cluster': 'Ansell Limited'}",Safety > Hand Protection > Disposable Gloves,False,llm-classified
74,UNK-9008,MISC HDW ASSTD,,,,,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': True, '_distributor_name': 'Unknown', '_distributor_code': None, '_distributor_cluster': 'Unknown'}",Hardware > Fasteners > Assorted Hardware,False,llm-classified
75,CBL-1055,CBL-1055 CAT6 CABLE 250FT,,,,Belden,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Belden', '_distributor_code': None, '_distributor_cluster': 'Belden Inc'}",Electrical > Wire & Cable > Data Cables,False,llm-classified
76,PL2-1679,PL2-1679 3/4IN COPPER TEE CXCXC,,,,Nibco,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Nibco', '_distributor_code': None, '_distributor_cluster': 'NIBCO INC.'}",Plumbing > Fittings & Valves > Copper Fittings,False,llm-classified
77,VLV-1609,VLV-1609 3/4IN BALL VLV BRZ THD,,,,Eaton,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Eaton', '_distributor_code': None, '_distributor_cluster': 'Eaton Corporation'}",Plumbing > Fittings & Valves > Ball Valves,False,llm-classified
78,HT-1717,HT-1717 10in ADJUSTABLE WRENCH CHROME VANADIUM,,,,Klein Tools,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Klein Tools', '_distributor_code': None, '_distributor_cluster': 'Klein Tools Inc'}",Tools > Hand Tools > Wrenches,False,llm-classified
79,EL2-1797,EL2-1797 GFCI RECEPT 15A 125V TR IVORY,,,,Leviton,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Leviton', '_distributor_code': None, '_distributor_cluster': 'Leviton Manufacturing'}",Electrical > Outlets & Switches > GFCI Receptacles,False,llm-classified
80,AB2-1268,AB2-1268 7-IN CUT WHL METAL,,,,Norton Abr.,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Norton Abr.', '_distributor_code': None, '_distributor_cluster': 'Norton Abr.'}",Abrasives > Cut-Off Wheels > Metal Cut-Off Wheels,False,llm-classified
81,LG-1647,LG-1647 40V CORDLESS HEDGE TRIMMER,,,,EGO,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'EGO', '_distributor_code': None, '_distributor_cluster': 'EGO'}",Lawn & Garden > Outdoor Power Equipment > Hedge Trimmers,False,llm-classified
82,AB2-1249,"AB2-1249 7"" FLAP DISC 40GRIT",,,,Norton Abrasives,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Norton Abrasives', '_distributor_code': None, '_distributor_cluster': 'Norton Abrasives'}",Abrasives > Sanding Discs > Flap Discs,False,llm-classified
83,JN-1926,JN-1926 24-IN MICROFIBER FLAT MOP,,,,Rubbermaid Comm,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Rubbermaid Comm', '_distributor_code': None, '_distributor_cluster': 'Rubbermaid Commercial'}",Janitorial > Floor Care > Mops,False,llm-classified
