row_index,mfg_part_num,part_desc,brand_e1,brand_unilog,brand_dib,part_manuf,placeholder_flags,coarse_category,is_dishwasher,classification_method
20,FS-2011,8mm x 30mm Dowel Pin - Hardened,,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Pins > Dowel Pins,False,llm-classified
21,FS-2012,"1/4""-20 Wing Nut - Zinc Plated",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Nuts > Wing Nuts,False,llm-classified
22,FS-2013,"5/32"" x 1/2"" Cotter Pin - Steel - Zinc",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Pins > Cotter Pins,False,llm-classified
23,FS-2014,M10 x 1.5 x 30mm Hex Bolt - Grade 8.8 - Zinc,,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Bolts > Hex Bolts,False,llm-classified
24,FS-2015,"#8-32 x 3/8"" Socket Set Screw - Cup Point - Alloy Steel",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Screws > Set Screws,False,llm-classified
25,FS-2016,"3/4"" x 6"" Anchor Bolt - Galvanized",,,,Anchor World (ANCRW),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Anchors > Anchor Bolts,False,llm-classified
26,FS-2017,"1/2"" x 1-1/2"" Carriage Bolt - Grade 5 - Zinc",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Bolts > Carriage Bolts,False,llm-classified
27,FS-2018,M4 x 0.7 x 8mm Machine Screw - Pan Head - Phillips - 304SS,,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Screws > Machine Screws,False,llm-classified
28,FS-2019,"3/8"" Retaining Ring - External - Steel",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Retaining Rings > External Retaining Rings,False,llm-classified
29,FS-2020,"1/4"" x 1-1/2"" Lag Screw - Hex Head - Hot Dip Galvanized",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners > Screws > Lag Screws,False,llm-classified
30,EL-3001,12/2 NM-B Romex - 250ft - Yellow,,,,Wire Supply Co (WIRSP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Wire & Cable > Non-Metallic Sheathed Cable,False,llm-classified
31,EL-3002,"1/2"" Single Gang PVC Box - New Work - 18cu in",,,,Electrical Supply (ELSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Boxes & Covers > PVC Boxes,False,llm-classified
32,EL-3003,20A Single Pole Toggle Breaker - Plug-On Neutral - BR,,,,Electrical Supply (ELSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Circuit Breakers > Standard Circuit Breakers,False,llm-classified
33,EL-3004,"3/4"" Flexible Nonmetallic Conduit - 100ft - Grey",,,,Wire Supply Co (WIRSP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Conduit & Fittings > Flexible Nonmetallic Conduit,False,llm-classified
34,EL-3005,1-Gang Screwless Wallplate - White - Thermoplastic,,,,Electrical Supply (ELSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Wiring Devices > Wallplates,False,llm-classified
35,EL-3006,15A GFCI Duplex Receptacle - Slim - Ivory - Tamper Resistant,,,,Electrical Supply (ELSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Wiring Devices > GFCI Receptacles,False,llm-classified
36,EL-3007,10/3 NM-B Romex - 125ft - Yellow,,,,Wire Supply Co (WIRSP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Wire & Cable > Non-Metallic Sheathed Cable,False,llm-classified
37,EL-3008,"3/4"" EMT Connector - Set Screw - Zinc Die Cast",,,,Electrical Supply (ELSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Conduit & Fittings > EMT Fittings,False,llm-classified
38,EL-3009,"4"" Square Junction Box - Deep - 1-1/2"" Deep - Welded",,,,Electrical Supply (ELSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Boxes & Covers > Steel Junction Boxes,False,llm-classified
39,EL-3010,20A 2-Pole Breaker - THQL - Plug-On,,,,Electrical Supply (ELSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Electrical > Circuit Breakers > Standard Circuit Breakers,False,llm-classified
40,PL-4001,"1/2"" Shower Valve Trim Kit - Chrome - Single Handle",,,,Plumbing Supply (PLSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Plumbing > Faucets & Showerheads > Shower Trim Kits,False,llm-classified
41,PL-4002,"3/4"" P-Trap - 20 Gauge - Chrome - Sink",,,,Plumbing Supply (PLSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Plumbing > Drainage > P-Traps,False,llm-classified
42,PL-4003,"1-1/4"" Bathroom Sink Drain - Pop-Up - Brass - Chrome",,,,Plumbing Supply (PLSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Plumbing > Drainage > Sink Drains,False,llm-classified
43,PL-4004,"1/2"" x 3/8"" Compression x 1/2"" IPS Dual Outlet Valve - 1/4 Turn",,,,Plumbing Supply (PLSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Plumbing > Valves > Dual Outlet Valves,False,llm-classified
44,PL-4005,"3/4"" Hose Clamp - Stainless Steel - Worm Drive",,,,Plumbing Supply (PLSUP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Hardware > Clamps > Hose Clamps,False,llm-classified
