Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
FAS2-1916,FAS2-1916 ANGLE BRACKET ZMAX,-- Unbranded --,,,Simpson Strong Tie Co
AU-1335,AU-1335 12V AGM BATTERY GRP 35 653CCA,-- Unbranded --,,,Interstate Battery Sys
SF-1373,SF-1373 SAFETY GLASSES CLEAR ANTI-FOG ANSI Z87.1,-- Unbranded --,,,3M Company
EL-1181,EL-1181 12/2 NM-B ROMEX 250 FT,-- Unbranded --,,,Southwire Co.
SF2-1574,SF2-1574 NITRILE GLOVES PF LG 100CT,-- Unbranded --,-- No Unilog Brand --,,Ansell Ltd
EL-1874,EL-1874 14/2 NM-B ROMEX 250 FT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Southwire Company
DW-1602,DW-1602 TOP CONTROL DISHWASHER 40 dBA BLACK STAINLESS,-- Unbranded --,-- No Unilog Brand --,,GE Appliances
DW-1391,DW-1391 BUILT-IN DISHWASHER 38 dBA WHITE,,,,Frigidaire
EL-1895,EL-1895 14/2 NM-B ROMEX 250',-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Southwire Co.
AB-1545,AB-1545 80GRIT CUTOFF DISC 4 IN,-- Unbranded --,,,3M Co.
VLV-1403,"VLV-1403 3/4"" BALL VLV FULL PORT",-- Unbranded --,,,Eaton Corporation
EL2-1869,EL2-1869 DECORA ROCKER SWITCH 15A WHT,,-- No Unilog Brand --,-- No DIB Brand --,Leviton Mfg
SF-1407,SF-1407 SAFETY GLASSES CLEAR ANTI-FOG ANSI Z87.1,-- Unbranded --,,,3M Co.
PT2-1870,PT2-1870 7.25-IN CIRC SAW 15A CORDED,,,,Makita USA
SF2-1375,SF2-1375 NITRILE GLOVE PF XL 100CT,-- Unbranded --,,-- No DIB Brand --,Ansell
DW-1185,DW-1185 FRONT CONTROL DISHWASHER 55 dBA WHITE,-- Unbranded --,,,Whirlpool Corporation
AB2-1035,AB2-1035 9-IN GRIND WHL A24 TYPE27,-- Unbranded --,,,Norton Abrasives
AB-1500,AB-1500 36GRIT SANDING BELT 4in,-- Unbranded --,,,3M
EL-1394,EL-1394 10/3 NM-B ROMEX 250',,,-- No DIB Brand --,Southwire Co.
AU-1779,AU-1779 12V AGM BATTERY GRP 65 662CCA,-- Unbranded --,,,Interstate
PL-1392,PL-1392 1 TEE BRS 125#,-- Unbranded --,,-- No DIB Brand --,Watts
TOOL2-1699,TOOL2-1699 M18 ANGLE GRINDER KIT,-- Unbranded --,,-- No DIB Brand --,Milwaukee Electric Tool
FA-1017,FA-1017 20D COMMON NAIL 3.5IN 25 LB BOX,,,-- No DIB Brand --,Fastenal
TOOL2-1144,TOOL2-1144 M18 IMPACT WRENCH KIT,-- Unbranded --,-- No Unilog Brand --,,Milwaukee Tool
DW-1136,DW-1136 TOP CONTROL DISHWASHER 44 dBA WHITE,,,-- No DIB Brand --,Frigidaire
PT-1765,PT-1765 18V MAX CORDLESS DRILL DRIVER KIT,-- Unbranded --,,,DEWALT Industrial
LG-1810,LG-1810 40V CORDLESS LEAF BLOWER,,,-- No DIB Brand --,EGO Power+
PL2-1315,PL2-1315 1/2IN CU 90 ELBOW,-- Unbranded --,,,Nibco
JN-1282,JN-1282 18 in. MICROFIBER MOP PAD,-- Unbranded --,,,Rubbermaid
HV-1843,HV-1843 PROGRAMMABLE THERMOSTAT 7-DAY DIGITAL,-- Unbranded --,,,Honeywell Intl
ADH-1755,ADH-1755 SILICONE SEALANT 9OZ TUBE,,-- No Unilog Brand --,,Loctite
SF2-1054,SF2-1054 NITRILE GLOVE PF SM 50CT,-- Unbranded --,,,Ansell
PL2-1161,PL2-1161 1IN CU 90 ELBOW,-- Unbranded --,,,NIBCO INC.
DW-1796,DW-1796 FRONT CONTROL DISHWASHER 51 dBA BLACK STAINLESS,-- Unbranded --,,,GE Appliances
AB-1097,"AB-1097 60GRIT CUT-OFF WHL 4""",,,,3M Co.
BM-1314,BM-1314 1/2IN OSB SHEATHING 4X8 SHEET,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,GP
SF-1064,SF-1064 SAFETY GLASSES CLR ANTI-FOG ANSI Z87.1,-- Unbranded --,,,3M Co.
ADH-1153,ADH-1153 EPOXY 9OZ TUBE,-- Unbranded --,,,Henkel Corporation
EL2-1069,EL2-1069 DECORA SWITCH 20A WHT,-- Unbranded --,,,Leviton Manufacturing
AU-1653,AU-1653 12V AGM BATTERY GRP 35 690CCA,-- Unbranded --,,-- No DIB Brand --,Interstate Battery Sys
CBL-1015,CBL-1015 CAT6.5 CABLE 250FT,-- Unbranded --,,,Belden Incorporated
MW-1324,MW-1324 COUNTERTOP MICROWAVE 1386W,,,,GE Appliances
PL2-1630,PL2-1630 3/4IN CU 90 ELBOW,-- Unbranded --,,,NIBCO INC.
FA-1763,FA-1763 8D COMMON NAIL 3.5in 1lb BOX,-- Unbranded --,,,Fastenal
JN-1074,JN-1074 24-IN MICROFIBER FLAT MOP,,,-- No DIB Brand --,Rubbermaid Commercial
JN-1350,JN-1350 24IN MICROFIBER FLAT MOP,-- Unbranded --,,-- No DIB Brand --,Rubbermaid
PL-1531,PL-1531 1 UNION BRS 125#,,-- No Unilog Brand --,,Watts
PL-1118,PL-1118 1 UNION BRS 150#,-- Unbranded --,,-- No DIB Brand --,Watts
PT2-1866,PT2-1866 10-IN CIRC SAW 15A CORDED,-- Unbranded --,,,Makita U.S.A. Inc
RF-1000,RF-1000 FRENCH DOOR REFRIGERATOR 22 CU FT,,-- No Unilog Brand --,,GE Appliances
FAS2-1868,FAS2-1868 JOIST HANGER ZMAX,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong Tie Co
SF2-1115,SF2-1115 NITRILE GLOVE PF XL 100CT,-- Unbranded --,,,Ansell Ltd
FA-1331,FA-1331 1/4-20 X 1.5in HEX CAP SCR ZN GR5,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Fastenal Co
FAS2-1884,FAS2-1884 JOIST HANGER GALV,-- Unbranded --,,,Simpson Strong Tie Co
CBL-1256,CBL-1256 CAT6.5 CABLE 500FT,,,,Belden Incorporated
RF-1396,RF-1396 SIDE BY SIDE REFRIGERATOR 24 CU FT,,,-- No DIB Brand --,Whirlpool Corporation
HT-1513,HT-1513 8IN ADJUSTABLE WRENCH CHROME VANADIUM,-- Unbranded --,,,Klein Tools Inc
TOOL2-1725,TOOL2-1725 M18 ANGLE GRINDER KIT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Electric Tool
AB-1794,AB-1794 100GRIT CUTOFF DISC 4.5 in.,-- Unbranded --,-- No Unilog Brand --,,3M Co.
AU-1541,AU-1541 12V AGM BATTERY GRP 65 527CCA,-- Unbranded --,-- No Unilog Brand --,,Interstate Batteries
EL2-1036,EL2-1036 GFCI OUTLET 15A 125V TR WHT,-- Unbranded --,,-- No DIB Brand --,Leviton Manufacturing
HT-1200,"HT-1200 12"" ADJ WRENCH CHROME VANADIUM",-- Unbranded --,-- No Unilog Brand --,,Klein Tools Inc
SF-1949,SF-1949 SAFETY GLASSES CLR ANTI-FOG ANSI Z87.1,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,3M Company
CBL-1795,CBL-1795 CAT6 CABLE 500FT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Belden Inc
LG-1466,LG-1466 56V CORDLESS STRING TRIMMER,-- Unbranded --,,-- No DIB Brand --,EGO Power Plus
VLV-1458,VLV-1458 1/2IN BALL VLV BRS FIP,-- Unbranded --,,,Eaton
MW-1711,MW-1711 OVER THE RANGE MICROWAVE 1158W,,,-- No DIB Brand --,GE Appliances
ADH-1791,ADH-1791 EPOXY 3OZ CARTRIDGE,-- Unbranded --,,-- No DIB Brand --,Henkel Corp
